date;site;produit;debut_compteur;sorti;entre;fin_compteur;code
01/11/2021;MORONI T101;GASOIL;56665;11;0;56654;1
01/11/2021;MORONI T102;GASOIL;409786;-113;0;409899;2
01/11/2021;MORONI T103;GASOIL;2572685;131436;0;2441249;3
01/11/2021;MORONI T104;ESSENCE;1391426;49688;0;1341738;4
01/11/2021;MORONI T106;JET A1;863677;53853;0;809824;5
01/11/2021;MORONI T107;JET A1;47796;0;0;47796;6
01/11/2021;ANJOUAN T03;PETROLE;4286;0;3;4289;7
01/11/2021;ANJOUAN T05;PETROLE;11160;123;0;11037;8
01/11/2021;ANJOUAN T06;PETROLE;12507;0;0;12507;9
01/11/2021;ANJOUAN T07;ESSENCE;486698;-28;0;486726;10
01/11/2021;ANJOUAN T08;ESSENCE;1058347;35278;0;1023069;11
01/11/2021;ANJOUAN T09;GASOIL;1291542;5034;0;1286508;12
01/11/2021;ANJOUAN T10;PETROLE;1204854;53893;0;1150961;13
01/11/2021;ANJOUAN T11;GASOIL;1623180;39250;0;1583930;14
01/11/2021;MOHELI TANK1;ESSENCE;3337;3;0;3334;15
01/11/2021;MOHELI TANK2;ESSENCE;13914;6;0;13908;16
01/11/2021;MOHELI TANK3;ESSENCE;21249;0;0;21249;17
01/11/2021;MOHELI TANK4;ESSENCE;16704;10051;0;6653;18
01/11/2021;MOHELI TANK5;Petrole ;0;0;0;0;19
01/11/2021;MOHELI TANK6;PETROLE;0;0;0;0;20
01/11/2021;MOHELI TANK7;PETROLE;0;0;0;0;21
01/11/2021;MOHELI TANK8;PETROLE;7580;3372;0;4208;22
01/11/2021;MOHELI TANK9;PETROLE;8975;11;0;8964;23
01/11/2021;MOHELI TANK10;GASOIL;0;0;0;0;24
01/11/2021;MOHELI TANK11;GASOIL;0;0;0;0;25
01/11/2021;MOHELI TANK12;ESSENCE;2812;2;0;2810;26
01/11/2021;MOHELI TANK13;GASOIL;0;0;0;0;27
01/11/2021;MOHELI TANK14;GASOIL;0;0;0;0;28
01/11/2021;AEROPORT T305;JET A1;3788;-24;0;3812;29
01/11/2021;AEROPORT T306;JET A1;7894;-5;0;7899;30
01/11/2021;AEROPORT T307;JET A1;5021;0;13648;18669;31
01/11/2021;AEROPORT T308;JET A1;19841;8630;1679;12890;32
02/11/2021;MORONI T101;GASOIL;56654;0;0;56654;33
02/11/2021;MORONI T102;GASOIL;409899;-91;0;409990;34
02/11/2021;MORONI T103;GASOIL;2441249;131739;0;2309510;35
02/11/2021;MORONI T104;ESSENCE;1341738;32033;0;1309705;36
02/11/2021;MORONI T106;JET A1;809824;13963;0;795861;37
02/11/2021;MORONI T107;JET A1;47796;0;0;47796;38
02/11/2021;ANJOUAN T03;PETROLE;4289;0;0;4289;39
02/11/2021;ANJOUAN T05;PETROLE;11037;132;0;10905;40
02/11/2021;ANJOUAN T06;PETROLE;12507;0;0;12507;41
02/11/2021;ANJOUAN T07;ESSENCE;486726;-87;0;486813;42
02/11/2021;ANJOUAN T08;ESSENCE;1023069;21663;0;1001406;43
02/11/2021;ANJOUAN T09;GASOIL;1286508;5573;0;1280935;44
02/11/2021;ANJOUAN T10;PETROLE;1150961;54671;0;1096290;45
02/11/2021;ANJOUAN T11;GASOIL;1583930;23306;0;1560624;46
02/11/2021;MOHELI TANK1;ESSENCE;3334;0;0;3334;47
02/11/2021;MOHELI TANK2;ESSENCE;13908;15;0;13893;48
02/11/2021;MOHELI TANK3;ESSENCE;21249;109;0;21140;49
02/11/2021;MOHELI TANK4;ESSENCE;6653;5485;0;1168;50
02/11/2021;MOHELI TANK5;Petrole ;0;0;0;0;51
02/11/2021;MOHELI TANK6;PETROLE;0;0;0;0;52
02/11/2021;MOHELI TANK7;PETROLE;0;0;0;0;53
02/11/2021;MOHELI TANK8;PETROLE;4208;8;0;4200;54
02/11/2021;MOHELI TANK9;PETROLE;8964;4346;0;4618;55
02/11/2021;MOHELI TANK10;GASOIL;0;0;0;0;56
02/11/2021;MOHELI TANK11;GASOIL;0;0;0;0;57
02/11/2021;MOHELI TANK12;ESSENCE;2810;-3;0;2813;58
02/11/2021;MOHELI TANK13;GASOIL;0;0;0;0;59
02/11/2021;MOHELI TANK14;GASOIL;0;0;0;0;60
02/11/2021;AEROPORT T305;JET A1;3812;-95;0;3907;61
02/11/2021;AEROPORT T306;JET A1;7899;-21;0;7920;62
02/11/2021;AEROPORT T307;JET A1;18669;0;13918;32587;63
02/11/2021;AEROPORT T308;JET A1;12890;9943;939;3886;64
03/11/2021;MORONI T101;GASOIL;56654;0;0;56654;65
03/11/2021;MORONI T102;GASOIL;409990;-45;0;410035;66
03/11/2021;MORONI T103;GASOIL;2309510;140220;0;2169290;67
03/11/2021;MORONI T104;ESSENCE;1309705;30278;0;1279427;68
03/11/2021;MORONI T106;JET A1;795861;13928;0;781933;69
03/11/2021;MORONI T107;JET A1;47796;0;0;47796;70
03/11/2021;ANJOUAN T03;PETROLE;4289;0;6;4295;71
03/11/2021;ANJOUAN T05;PETROLE;10905;123;0;10782;72
03/11/2021;ANJOUAN T06;PETROLE;12507;-21;0;12528;73
03/11/2021;ANJOUAN T07;ESSENCE;486813;15;0;486798;74
03/11/2021;ANJOUAN T08;ESSENCE;1001406;26475;0;974931;75
03/11/2021;ANJOUAN T09;GASOIL;1280935;5157;0;1275778;76
