cuve;date;produit;debut_compteur;sorti;entre;fin_compteur;code
AEROPORT T305;06/11/2021 10:58;JET A1;4105;8%;-52,5;0;1
AEROPORT T306;06/11/2021 10:58;JET A1;7912;16%;-2,7;0;2
AEROPORT T307;06/11/2021 10:58;JET A1;4758;10%;9 630,20;0;3
AEROPORT T308;06/11/2021 10:58;JET A1;49088;8%;-2 802,00;0;4
ANJOUAN T03;06/11/2021 11:02;PETROLE;4298;2%;-2;0;5
ANJOUAN T05;06/11/2021 11:02;PETROLE;10481;3%;108,5;0;6
ANJOUAN T06;06/11/2021 11:02;PETROLE;12520;2%;-1,2;0;7
ANJOUAN T07;06/11/2021 11:02;ESSENCE;486289;96%;121 702,00;3;8
ANJOUAN T08;06/11/2021 11:02;ESSENCE;804197;54%;41 891,70;13;9
ANJOUAN T09;06/11/2021 11:02;GASOIL;1257581;84%;5 607,50;184;10
ANJOUAN T10;06/11/2021 11:02;PETROLE;788720;53%;68 443,00;8;11
ANJOUAN T11;06/11/2021 11:02;GASOIL;1469739;49%;294 745,30;3;12
MOHELI TANK 01;06/11/2021 09:42;ESSENCE;14771;30%;-63;0;13
MOHELI TANK 02;06/11/2021 09:42;ESSENCE;21278;99%;-5,3;0;14
MOHELI TANK 03;06/11/2021 09:42;ESSENCE;21222;98%;3 266,50;6;15
MOHELI TANK 04;06/11/2021 09:42;ESSENCE;21227;98%;2 592,80;8;16
MOHELI TANK 05;06/11/2021 09:43;Petrole ;2756;6%;8,5;324;17
MOHELI TANK 06;06/11/2021 09:43;PETROLE;2812;6%;4;703;18
MOHELI TANK 07;06/11/2021 09:43;PETROLE;1897;6%;469,7;4;19
MOHELI TANK 08;06/11/2021 09:42;PETROLE;1379;9%;1 033,50;1;20
MOHELI TANK 09;06/11/2021 09:42;PETROLE;1734;12%;1 211,50;1;21
MOHELI TANK 10;06/11/2021 09:43;GASOIL;5568;19%;0,3;16704;22
MOHELI TANK 11;06/11/2021 09:43;GASOIL;49865;64%;2 974,70;16;23
MOHELI TANK 12;06/11/2021 09:42;ESSENCE;49217;98%;-3,2;0;24
MOHELI TANK 13;06/11/2021 09:43;GASOIL;3269;7%;6,8;478;25
MOHELI TANK 14;06/11/2021 09:43;GASOIL;3306;7%;5;661;26
MORONI T101;06/11/2021 10:59;GASOIL;56643;4%;1,8;0;27
MORONI T102;06/11/2021 10:59;GASOIL;409718;33%;13,2;17219;28
MORONI T103;06/11/2021 10:59;GASOIL;1773546;49%;132 703,50;9;29
MORONI T104;06/11/2021 10:59;ESSENCE;1169796;35%;36 900,50;18;30
MORONI T106;06/11/2021 10:59;JET A1;669099;55%;31 763,70;15;31
MORONI T107;06/11/2021 10:59;JET A1;47787;6%;3;0;32
